S_num,D_from_ft,D_to_ft,k_max,k_90,k_vert,G_den_G_CC,Poro_percent,Sw,So
16-1,4294.4,4295,96.44,56.07,3.15,2.82,8.1,20,0
16-3,4296,4296.6,0.05,0.05,<.01,2.82,2.8,57.3,0
16-5,4298.35,4299,0.24,0.12,<.01,2.82,8.9,49.2,0
16-7,4300.4,4301,2.94,0.96,5.21,2.83,6.7,28.5,0
16-9,4302.4,4303,0.11,0.09,0.03,2.82,5.5,39.5,0
16-11,4304.15,4304.65,0.07,0.04,<.01,2.82,5.8,50.7,0
16-13,4306.4,4307,0.19,0.19,<.01,2.82,10.7,41.5,0
16-14,4307.35,4308,0.13,0.1,<.01,2.83,5.9,45.1,0
16-15,4308.7,4309,0.07,0.07,<.01,2.82,3.2,18.2,0
16-17,4310.4,4311,0.14,0.12,<.01,2.82,5,53.6,0
16-19,4312.4,4313,0.06,0.06,<.01,2.82,6.2,54.8,0
16-21,4314.3,4314.8,0.11,0.11,<.01,2.82,8.5,38.8,0
16-23,4316,4316.6,0.08,0.08,<.01,2.8,8.3,53.4,0
16-25,4318.5,4319,0.1,0.08,<.01,2.83,9.1,54.4,0
16-27,4320.3,4320.9,0.39,0.1,0.01,2.81,5.4,31.4,0
16-29,4322.7,4323,0.1,0.06,<.01,2.81,3,38.5,0
16-31,4324,4324.6,0.07,0.06,<.01,2.82,4.7,34.4,0
16-33,4326.6,4327,4.37,0.28,4.25,2.78,7.1,50.6,0
16-35,4328,4328.4,0.07,0.06,<.01,2.8,7.5,85.7,0
16-37,4330.4,4331,0.16,0.15,<.01,2.82,6,49,0
16-39,4332.4,4333,1.05,0.88,0.01,2.82,8.4,35.9,0
16-41,4334,4334.6,0.06,0.01,<.01,2.8,4.6,51.9,0
16-43,4336.7,4337,0.02,0.01,<.01,2.82,0.7,73.4,0
16-45,4338,4338.6,0.02,0.01,<.01,2.81,2.8,55.7,0
16-47,4340,4340.6,0.03,0.02,<.01,2.82,5.3,44.8,0
16-49,4342.7,4343,0.06,0.05,<.01,2.82,3.9,63.1,0
16-50,4343,4343.3,0.05,0.05,<.01,2.82,4.4,78.8,0
16-51,4344.4,4345,0.28,0.28,<.01,2.79,11.1,46.5,0
16-53,4346,4346.6,0.09,0.08,<.01,2.8,8.9,72.9,0
16-55,4348,4348.4,12.03,11.02,<.01,2.81,4.9,67.4,0
16-57,4350.5,4351,0.08,0.06,<.01,2.82,2.8,51.7,0
16-59,4352,4352.6,0.04,0.04,<.01,2.81,4.3,45.3,0
17-2,4354,4354.6,0.09,0.05,<.01,2.79,7.1,76.2,0
17-4,4356,4356.6,0.04,0.03,<.01,2.8,6.2,51.3,0
17-6,4358,4358.6,0.07,0.04,<.01,2.81,4.3,56.8,0
17-8,4360.2,4360.8,0.08,0.07,<.01,2.82,2.9,26.8,0
17-10,4362.3,4362.8,1.01,0.85,0.01,2.81,5.2,22,0
17-12,4364.3,4364.75,0.28,0.15,<.01,2.78,4.2,67.3,0
17-14,4366.05,4366.35,10.19,4.44,3.76,2.83,5.6,15.4,0
17-16,4368.3,4368.8,0.81,0.39,<.01,2.78,3.9,88.4,0
17-18,4370,4370.4,0.08,0.08,<.01,2.82,3.7,84.5,0
17-20,4372.2,4372.8,0.06,0.06,<.01,2.78,4,33.1,0
17-22,4374,4374.6,0.07,0.06,<.01,2.81,10.1,56.1,0
17-24,4376,4376.6,0.06,0.05,<.01,2.81,6.7,73.5,0
17-26,4378.1,4378.75,10.17,1.48,<.01,2.82,4.4,34.1,0
17-28,4380.35,4380.75,0.18,0.07,0.01,2.82,2.2,24.4,0
17-30,4382.65,4383,0.12,0.09,<.01,2.8,3.7,48.3,0
17-32,4384,4384.35,0.09,0.09,<.01,2.8,6.5,35.6,0
17-34,4386.4,4386.7,1.25,0.17,0.01,2.81,4.2,23.9,0
17-36,4388,4388.45,48.12,17.55,1.22,2.8,5,27.9,0
17-38,4390.3,4390.7,1.33,0.47,1.19,2.82,4.9,56.5,0
17-40,4392.1,4392.45,0.96,0.16,0.01,2.68,1.7,87.2,0
17-42,4394.85,4395.45,2.49,0.44,<.01,2.64,2.4,60.8,0
17-44,4396.4,4397,2.33,1.62,<.01,2.8,4.5,32.4,0
